Date,Close,Open,High,Low,Volume,Change %
2017-11-02,8516.02,8342.98,8543.8,8321.65,157750.0,1.80%
2017-11-03,8376.13,8544.02,8605.15,8376.13,168240.0,-1.64%
2017-11-06,8523.07,8393.05,8523.07,8393.05,109620.0,1.75%
2017-11-07,8521.81,8519.66,8543.41,8462.22,92530.0,-0.01%
2017-11-08,8508.49,8525.04,8532.45,8486.52,138300.0,-0.16%
2017-11-09,8519.82,8515.4,8563.51,8506.77,131310.0,0.13%
2017-11-10,8433.48,8548.07,8548.21,8433.48,104230.0,-1.01%
2017-11-13,8330.02,8460.62,8486.61,8330.02,95950.0,-1.23%
2017-11-14,8379.64,8349.61,8379.64,8280.43,112460.0,0.60%
2017-11-15,8273.44,8335.87,8348.52,8260.61,142920.0,-1.27%
2017-11-16,8206.44,8211.03,8332.94,8206.44,135590.0,-0.81%
2017-11-17,8311.08,8274.89,8326.81,8262.9,104620.0,1.28%
2017-11-20,8321.98,8332.71,8371.95,8321.98,67870.0,0.13%
2017-11-21,8289.19,8339.81,8340.63,8289.19,93620.0,-0.39%
2017-11-22,8265.68,8306.72,8346.92,8265.68,96310.0,-0.28%
2017-11-23,8343.23,8291.86,8343.23,8278.51,52650.0,0.94%
2017-11-24,8365.11,8330.09,8365.11,8261.15,126830.0,0.26%
2017-11-27,8361.69,8358.35,8361.69,8261.28,68090.0,-0.04%
2017-11-28,8291.88,8341.77,8341.77,8254.25,94280.0,-0.83%
2017-11-29,8254.03,8272.07,8304.38,8213.65,212700.0,-0.46%
2017-12-01,8144.02,8236.15,8236.15,8122.32,157680.0,-1.33%
2017-12-04,8084.45,8108.21,8126.97,8051.86,117390.0,-0.73%
2017-12-05,8145.0,8093.63,8149.22,8085.44,114590.0,0.75%
2017-12-06,8129.62,8157.6,8197.39,8119.37,122960.0,-0.19%
2017-12-07,8174.93,8128.06,8174.93,8109.57,96880.0,0.56%
2017-12-08,8304.7,8176.21,8304.7,8167.6,119250.0,1.59%
2017-12-11,8358.57,8296.23,8358.57,8277.26,82520.0,0.65%
2017-12-12,8334.06,8346.27,8362.28,8311.68,118570.0,-0.29%
2017-12-13,8359.61,8341.81,8363.15,8321.59,77580.0,0.31%
2017-12-14,8461.06,8366.6,8461.06,8344.02,111080.0,1.21%
2017-12-15,8337.04,8425.66,8425.66,8337.04,226810.0,-1.47%
2017-12-18,8422.82,8345.97,8422.82,8345.32,68250.0,1.03%
2017-12-19,8365.96,8422.09,8422.77,8348.88,88310.0,-0.68%
2017-12-20,8362.61,8376.32,8377.57,8343.99,57720.0,-0.04%
2017-12-21,8378.28,8371.91,8378.28,8323.01,88100.0,0.19%
