Date,Close,Open,High,Low,Volume,Change %,SMA,WMA,StochD,AD,PctDiffLow,FFT_Min,FFT_Max,Skewness,Kurtosis,SD
2016-05-16,7511.74,7382.43,7527.11,7382.43,184350.0,1.01%,0.043989072123192544,0.03699007302305715,87.62370764094538,0.183844919631576,0.08216186313463235,105.13000000000466,143965.99,1.130274796202478,0.7427603087499719,0.011824785586670753
2016-05-17,7524.84,7525.61,7568.82,7513.4,218750.0,0.17%,0.042571055672399924,0.032534118488470314,92.09617937038526,0.1536439247734656,0.08404908505752426,85.31000000001222,144156.43,1.1295268091195376,0.8742322041246111,0.01148315502161584
2016-05-18,7534.3,7531.58,7542.83,7487.68,199180.0,0.13%,0.040239787242372795,0.02787608694669238,94.95459691722897,0.20235226093804148,0.08541191859878816,63.60275511960859,144437.87,1.0915323559360752,0.8773845440937111,0.011401789323908906
2016-05-19,7427.33,7539.25,7539.25,7427.33,126310.0,-1.42%,0.02280005657816584,0.009893639260008042,88.3120816066306,0.17440613109950331,0.07000152706506736,117.51688061619383,144757.08000000002,0.9676555004877233,0.5929377017171844,0.011954315977871891
2016-05-20,7299.03,7390.91,7395.6,7295.28,114060.0,-1.73%,0.0037524900691913335,-0.008221403718208243,76.31495058973543,0.10032497087266765,0.05151827724010356,94.84623157205854,144983.04,0.9513395996808864,0.5461325521302807,0.012568934157678962
2016-05-23,7306.69,7320.65,7351.07,7306.69,97150.0,0.10%,0.0023168377814756754,-0.007808773495325805,64.22218680267771,0.06553538053738016,0.052621797845397555,61.69999999998254,145024.22,0.9344061071058138,0.5250015047723835,0.012568720018575672
2016-05-24,7356.72,7309.03,7363.96,7304.56,125050.0,0.68%,0.006122263971640954,-0.0022240122799763676,60.470725746466904,0.09150962125676948,0.059829256837938084,90.28241261066007,145075.52000000002,0.8323067031933793,0.33536582442771445,0.0126460087456404
2016-05-25,7463.95,7396.0,7466.72,7396.0,172620.0,1.46%,0.01699133182708018,0.009544479226291896,69.23281266602912,0.1594716848780711,0.07527710468463221,6.4099999999889405,145182.11,0.6146060347066183,-0.10077573986279731,0.012919845733132195
2016-05-26,7376.38,7438.89,7454.51,7354.17,116640.0,-1.17%,0.0013889793929915317,-0.0029675788448620304,72.93539475082355,0.12478006620483542,0.0626615303496979,57.64958183566515,145434.14,0.6088019143516504,-0.22147160905363839,0.013206938167958614
2016-05-27,7411.68,7393.87,7430.93,7373.96,157300.0,0.48%,0.0021017734262557502,0.0009823880538156946,75.85538199978753,0.16971063809525505,0.06774694514955157,62.58999999999651,145629.99000000002,0.527973179249516,-0.274832647714943,0.013193296440285409
2016-05-30,7464.34,7409.01,7465.23,7409.01,119970.0,0.71%,0.006408318554326649,0.0068577594928173015,71.22203493879901,0.17744553980294742,0.032762139314152096,107.26649783604199,145879.11000000002,0.4389478785361449,-0.36320451778958995,0.013233718141189153
2016-05-31,7401.6,7478.89,7519.17,7401.6,212770.0,-0.84%,-0.0020996638785105944,-0.0013319762779593653,61.06896493715427,0.10696848093578565,0.014573806625653933,6.6600000000034925,146184.16,0.4925901643166473,-0.2534864163022088,0.012879868340641127
2016-06-01,7500.79,7447.27,7507.47,7434.55,130150.0,1.34%,0.009564665804877762,0.010531218097040378,61.12763241317967,0.17644141576249717,0.02817026899584392,39.18988215636428,146531.88,0.3332004911299711,-0.4820449152286854,0.013075105145373911
2016-06-02,7464.59,7506.78,7553.6,7464.59,143180.0,-0.48%,0.004423898432182331,0.0050248424319924495,58.63127878920832,0.10527119797673697,0.023208156506672864,99.84000000001106,146986.09999999998,0.4271578619098907,-0.5032011529108908,0.013188312379004063
2016-06-03,7514.22,7511.71,7533.48,7497.53,133080.0,0.66%,0.011077935760620898,0.010210694662799077,72.35504862177393,0.0998739319905935,0.030011185314340303,138.2772466132529,147368.83,0.3277938549504167,-0.3754015320893167,0.012770631708610562
2016-06-06,7598.22,7549.87,7606.85,7535.51,142870.0,1.12%,0.02166004096817679,0.018467065514186465,79.72184096329953,0.11310702778553493,0.04152547948810745,231.5800000000163,147883.3,0.18958703315866973,-0.4664935092284419,0.012825761386028702
2016-06-07,7710.54,7645.35,7744.54,7634.38,272590.0,1.48%,0.035010711811987526,0.02849685082612548,89.90054619247042,0.0734758605560353,0.05692173569760177,27.62508588215273,148489.65,0.08477729322879185,-0.30243042962638933,0.012028763173937234
2016-06-08,7722.79,7724.26,7792.34,7722.79,195880.0,0.16%,0.033726628367839406,0.025152121811533135,91.88996055343132,-0.049324031034447345,0.05860090359794281,92.3133442471212,149025.31,-0.4457906960176958,-0.9681815650556174,0.010182126962087716
2016-06-09,7536.65,7725.55,7725.55,7536.65,109120.0,-2.41%,0.0065243296807873845,-0.0007210204919380551,75.34020044597575,-0.05057613696809176,0.03177330325166734,137.199724992913,149351.58000000002,-0.7042932068629915,-0.4980901333482044,0.011495486510396422
2016-06-10,7509.94,7567.74,7616.94,7509.94,155460.0,-0.35%,0.0010163529523885748,-0.004652113067677219,58.564549802541585,-0.10422152176471788,0.028116683277295166,46.229999999995925,149563.19,-0.6353293253208463,-0.48907681591353214,0.011071233588150946
2016-06-13,7554.4,7510.31,7554.4,7407.22,165980.0,0.59%,0.005050931724946631,0.0003197771666290877,45.12759987466563,-0.09814577419328457,0.02722672986890425,26.920000000012806,149636.34,-0.6327904071593207,-0.42851983096457147,0.010920867062400827
2016-06-14,7460.12,7516.68,7516.68,7414.37,109170.0,-1.25%,-0.007456123595003773,-0.011181210821384057,37.327345246973024,-0.06274509246118051,0.014406792336864638,6.499859393203644,149679.0,-0.45901412065763786,-0.7936549523876346,0.01128182670085602
2016-06-15,7501.65,7455.11,7521.6,7451.56,121280.0,0.56%,-0.003117467776690151,-0.0054214515996288525,33.46569657559344,-0.0936507485032926,0.017316340202550542,49.55438426618409,149614.28,-0.5009936108852212,-0.8094846082488312,0.011355483519428831
2016-06-16,7564.47,7516.08,7576.82,7513.42,120330.0,0.84%,0.0037748217324182144,0.002209968983540411,32.1275542573376,-0.0253061393009358,0.022004701686121904,47.80999999999767,149581.63,-0.7302312509058227,-0.4008165030513533,0.011002619721230488
2016-06-17,7622.07,7607.95,7656.33,7607.95,127340.0,0.76%,0.009908287791122652,0.008308671378716085,42.87541963016477,-0.007252847703663256,0.029786802853437006,89.3299999999872,149718.77,-0.9680430517882455,0.3412221798560391,0.010209078822931528
2016-06-20,7665.33,7632.1,7678.08,7624.08,152210.0,0.57%,0.013111444636046125,0.011924574358710738,55.04227547654805,0.052379399588523196,0.034845731597009356,104.82801277401546,150041.81,-1.0285187845660921,0.4022014897656132,0.0102336023445476
2016-06-21,7767.23,7701.9,7781.17,7700.69,214870.0,1.33%,0.024003641698045284,0.02175992856242422,72.30811068083199,0.06577536934961824,0.04860257964526493,124.92999999999302,150400.45,-0.9970422451443026,0.2774259669241861,0.010478031718195576
2016-06-22,7756.37,7767.44,7777.6,7756.37,166990.0,-0.14%,0.019769918485406244,0.017276449243764105,83.72022573050816,-0.0404189634790981,0.04713644255199651,69.5011212171046,150810.96,-0.9480683646909795,0.29930183347851,0.010134010674704517
2016-06-23,7729.78,7761.38,7763.05,7711.56,143660.0,-0.34%,0.01422086464086631,0.01159940505568045,89.29857360476377,-0.03262830776816131,0.04354670173155374,6.8400000000110595,151103.38,-1.0687732086149468,0.8852562821399257,0.009703941245591501
2016-06-24,7629.72,7771.75,7813.58,7538.18,223290.0,-1.29%,0.0007965816136371215,-0.0016404777357095202,76.39005715848377,-0.0717702663000463,0.03003825996797719,140.37470667450006,151456.78,-0.8164916065296374,0.03957062691653901,0.010266894316496489
2016-06-27,7715.9,7571.33,7715.9,7488.51,157600.0,1.13%,0.012050057515513435,0.008013875132862117,71.49077282344903,-0.05797051367499606,0.04167285432321429,50.499150242770476,151674.82,-0.8045548119819161,-0.042516603757957405,0.010428752406523693
2016-06-28,7666.69,7711.88,7711.88,7651.34,96760.0,-0.64%,0.006124278592340148,0.0008413133504513921,64.85628506742786,-0.00658768928822492,0.03502933624220684,53.93182001068935,151926.38,-0.8321672417781156,0.06947843350234395,0.01033467133906868
2016-06-29,7798.53,7715.4,7798.53,7714.18,144240.0,1.72%,0.020919898786447306,0.014898884003152778,78.70361256029129,0.0056957130585551085,0.05282818655311972,63.704735343502016,152191.47000000003,-0.7337194003416351,0.0028198262428515974,0.01059035548776151
2016-06-30,7796.25,7819.14,7980.75,7768.44,307910.0,-0.03%,0.017896266580595063,0.01183650557600964,75.99314630055211,-0.020373913148536607,0.052520378765582736,113.97893157116664,152489.21000000002,-0.8083789453334704,0.1848710715400479,0.010484505910673968
2016-07-01,7830.35,7811.2,7878.52,7811.2,141740.0,0.44%,0.019724204930660676,0.013260842894529388,79.19085989512031,-0.036099208533780555,0.05610456451458458,81.07000000000698,152820.87,-0.7873906136276333,0.19411311970801792,0.010446297379001159
